#NGC 4594 #Velocity profiles of galaxies with claimed black holes —
#I. Observations of M31, M32, NGG 3115 and NGC 4594 #van der Marel RP, Rix HW, Carter D, Franx M, White SDM, de Zeeuw T. 1994, MNRAS, 268, 521
#Meaning of each column: #radius #velocity #deltav 
0	0.6	2.4
0.36	35.8	4.2
0.71	69.9	3.9
1.07	94.6	3.4
1.43	116.5	2.9
1.79	129.4	3.2
2.14	143.7	3
2.5	151.1	2.3
2.86	158.1	3.5
3.21	163.2	3.7
3.57	168.1	3.4
3.93	172.9	3.7
4.28	173.6	3.2
4.64	172.9	3.5
5	172.5	3.7
5.36	175.1	5
5.71	176.8	4.5
6.07	175.1	4.3
6.43	170.6	4.9
7.14	169.4	3.5
7.85	159.3	4.1
8.57	159.5	5.1
9.28	149.9	5
10	154.9	4.8
10.71	149.4	4.3
11.42	145.9	5.1
12.14	140.2	4
13.21	147.5	3.8
14.28	146.9	5.1
15.71	146.4	3.9
17.14	155.5	4.5
18.56	163.3	4.5
20.71	168.5	3
22.85	193.7	3
24.99	211	3.1
27.85	216.6	2.9
31.06	244.4	2.4
34.99	262.9	1.6
39.27	268.5	2.3
43.91	282.6	1.9
