#datathief
0.0523	0.4939	0.6175
0.342	15.9306	1.6051
0.7619	27.9092	2.3465
0.7635	40.0122	2.0995
1.0783	47.1745	0.6175
2.2284	48.9011	1.1115
2.9615	58.7795	0.8643
3.4856	68.6583	1.1114
4.0097	79.0312	0.8643
4.7429	88.9096	1.1114
5.5805	98.7877	1.4819
6.5227	108.4188	0.8645
7.6478	118.0493	1.2349
8.3026	128.422	0.7409
9.9765	137.8045	1.2349
12.2775	147.1857	0.9879
17.9228	152.1141	0.988
25.971	149.1335	0.8645
32.1638	144.4278	0.8645
36.9713	138.1194	0.988
42.0401	132.0576	1.1036
46.4555	125.256	1.482
51.0799	118.3305	0.741
55.9658	112.516	0.8645
61.113	106.3305	1.2353
66.6263	101.6261	0.8646
72.6883	96.6737	1.1117
78.9594	92.2147	1.2349
85.5441	87.7553	0.8645
92.547	83.9123	0.8646
99.3408	79.6995	1.2349
106.8666	76.967	1.2352
114.915	74.2335	1.2352
119.8013	71.6299	1.1115
